Pedestrian Counter Location,Type,n_obs,Mean_Ped_Count,Mean_Bike_Trips,Pearson_r,p_value,Sig,n_Bike_Stations
East 8th Street,Street,24,2864.9,8939.0,0.445,0.0294,*,246
Pitkin Avenue,Street,24,2125.0,159.3,0.415,0.0436,*,74
Queens Boulevard,Street,48,2325.0,101.9,0.408,0.004,**,60
Forsyth Street,Street,24,3651.4,5669.5,0.371,0.0739,,205
Trinity Place,Street,24,3586.5,2457.6,0.369,0.076,,112
Fresh Po Road,Street,24,629.2,377.3,0.306,0.1458,,94
University Heights Bridge,Street,24,349.5,242.5,0.303,0.1498,,118
Fulton Street,Street,72,5215.6,6930.4,0.294,0.0123,*,488
Steinway Street,Street,24,3793.8,1079.3,0.288,0.172,,145
Montague Street,Street,24,2981.8,2421.0,0.257,0.2253,,128
East Fordham Road,Street,24,7361.8,235.8,0.25,0.2389,,135
VanBrunt Street,Street,24,207.5,267.3,0.246,0.2465,,45
37th Avenue,Street,24,2916.5,405.2,0.232,0.2756,,144
Church Avenue,Street,24,2900.3,610.1,0.215,0.3134,,125
West 40th Street,Street,24,6546.6,8146.1,0.211,0.3234,,219
7th Avenue,Street,24,3290.2,1637.2,0.208,0.3302,,111
Broadway Bridge,Street,24,633.2,153.7,0.206,0.3351,,87
Triborough Bridge (Manhattan span),Street,24,28.1,711.7,0.2,0.349,,91
Cortelyou Road,Street,24,2101.0,379.1,0.19,0.3735,,68
Queens Plaza North & South,Street,24,3977.2,975.6,0.187,0.3817,,113
West 47th Street,Street,24,6185.1,6609.5,0.183,0.3923,,187
West 181st Street,Street,24,4357.8,308.8,0.182,0.3945,,94
East 14th Street,Street,24,8341.6,9307.8,0.179,0.4031,,244
Main Street,Street,23,5507.2,14.1,0.176,0.4207,,3
Sixth Avenue,Street,24,10903.6,6727.5,0.176,0.4117,,187
Jay Street,Street,24,3363.2,3088.9,0.162,0.4499,,162
Park Avenue,Trail/Park,24,5702.6,5668.2,0.16,0.456,,166
West 34th Street,Street,24,17861.7,8512.0,0.159,0.4581,,211
Bedford Avenue,Street,24,4131.8,3632.0,0.156,0.4666,,126
Gra Street,Street,24,1027.0,2805.2,0.151,0.4815,,147
Chambers Street,Street,24,6427.0,3898.1,0.146,0.4974,,156
